id,都道府県コード,名称,読み,検索文字列,住所,緯度,経度,分類1,分類2,分類3
010000095200,01,一妙寺,いちみようじ,一妙寺,北海道 茅部郡森町 字森川町88番地5,42.105145,140.580124,施設,埋葬・信仰・宗教施設,寺院
010000095300,01,祐専寺,ゆうせんじ,祐専寺,北海道 茅部郡森町 字森川町179番地,42.103725,140.580734,施設,埋葬・信仰・宗教施設,寺院
010000096000,01,霊鷲院,りようじゆいん,霊鷲院,北海道 茅部郡森町 字鷲ノ木町151番地,42.109110,140.524657,施設,埋葬・信仰・宗教施設,寺院
010000096100,01,茅部の鯡供養塔,かやべのにしんくようとう,茅部の鯡供養塔,北海道 茅部郡森町 字本茅部町,42.135518,140.507211,施設,史跡・文化財・遺跡,塔
010000097600,01,栄浜１遺跡,さかえはまいちいせき,栄浜１遺跡,北海道 二海郡八雲町 −,42.073539,140.400567,施設,史跡・文化財・遺跡,遺跡
010000097900,01,東流寺,とうりゆうじ,東流寺,北海道 二海郡八雲町 落部177番地,42.188285,140.423462,施設,埋葬・信仰・宗教施設,寺院
010000098700,01,諏訪神社,すわじんじや,諏訪神社,北海道 札幌市 東区北十二条東一丁目277番地,43.075871,141.353882,施設,埋葬・信仰・宗教施設,神社
010000098800,01,円融寺,えんゆうじ,円融寺,北海道 野付郡別海町 尾岱沼潮見町55番地4,43.572590,145.213882,施設,埋葬・信仰・宗教施設,寺院
010000098900,01,コタン温泉遺跡,こたんおんせんいせき,コタン温泉遺跡,北海道 二海郡八雲町 浜松,42.200059,140.296187,施設,史跡・文化財・遺跡,遺跡
010000100100,01,八雲神社,やくもじんじや,八雲神社,北海道 二海郡八雲町 宮園町56番地,42.252907,140.263763,施設,埋葬・信仰・宗教施設,神社
010000101300,01,飯生神社,いなりじんじや,飯生神社,北海道 山越郡長万部町 字長万部379番地,42.521523,140.371796,施設,埋葬・信仰・宗教施設,神社
